34.36;127466;37;7528;Pavia_fridge
34.36;127468;37;7528;Pavia_fridge
34.36;127468;37;11988;Pavia_fridge
34.36;127468;37;11988;Pavia_fridge
34.36;127466;37;11988;Pavia_fridge
34.36;127468;37;11988;Pavia_fridge
34.36;127468;37;12002;Pavia_fridge
34.36;127467;37;12002;Pavia_fridge
34.36;127465;37;12002;Pavia_fridge
34.36;127468;37;12002;Pavia_fridge
23.44;127468;37;12002;Pavia_fridge
23.44;127468;37;11941;Pavia_fridge
23.44;127468;37;11941;Pavia_fridge
23.44;127466;37;11941;Pavia_fridge
23.44;127467;37;11941;Pavia_fridge
23.44;127467;37;11995;Pavia_fridge
23.44;127468;37;11995;Pavia_fridge
23.44;127467;37;11995;Pavia_fridge
23.44;127467;37;11995;Pavia_fridge
23.44;127467;37;11988;Pavia_fridge
23.44;127466;37;11988;Pavia_fridge
23.44;127466;37;11988;Pavia_fridge
23.44;127465;37;11988;Pavia_fridge
23.44;127465;37;12084;Pavia_fridge
23.44;127468;37;12084;Pavia_fridge
23.44;127465;37;12084;Pavia_fridge
23.44;127466;37;12084;Pavia_fridge
23.400000000000002;127466;37;12084;Pavia_fridge
23.400000000000002;127466;37;12050;Pavia_fridge
23.400000000000002;127469;37;12050;Pavia_fridge
23.400000000000002;127464;37;12050;Pavia_fridge
23.400000000000002;127465;37;12050;Pavia_fridge
23.400000000000002;127465;37;12146;Pavia_fridge
23.400000000000002;127465;37;12146;Pavia_fridge
23.400000000000002;127463;37;12146;Pavia_fridge
23.400000000000002;127464;37;12146;Pavia_fridge
23.400000000000002;127464;37;12112;Pavia_fridge
23.400000000000002;127464;37;12112;Pavia_fridge
23.400000000000002;127464;37;12112;Pavia_fridge
23.400000000000002;127465;37;12112;Pavia_fridge
23.400000000000002;127465;37;12118;Pavia_fridge
23.400000000000002;127464;37;12118;Pavia_fridge
23.400000000000002;127462;37;12118;Pavia_fridge
23.400000000000002;127467;37;12118;Pavia_fridge
23.37;127467;37;12118;Pavia_fridge
23.37;127467;37;12153;Pavia_fridge
23.37;127463;37;12153;Pavia_fridge
23.37;127465;37;12153;Pavia_fridge
23.37;127466;37;12153;Pavia_fridge
23.37;127466;37;12132;Pavia_fridge
23.37;127468;37;12132;Pavia_fridge
23.37;127466;37;12132;Pavia_fridge
23.37;127465;37;12132;Pavia_fridge
23.37;127465;37;12112;Pavia_fridge
